strain	description	source	location	cluster	adk	ccpA	glpF	glpT	panC	pta	pycA	ST
T03a001	B.thuringiensis kurstaki T03a001	Animal, Insect, Mediterranean flour moth/mill moth (Ephestia kuhniella/Anagasta kuehniella) (1962)	France	clusterIV	13	4	56	33	3	61	64	115
T04001	B.thuringiensis sotto T04001 (BGSC4E4, HD6)		Canada	clusterIV	34	11	-2	23	36	35	46	-7
T13001	B.thuringiensis pakistani T13001 (Pak94)	Animal, Insect, Lepidoptera (1976)	Pakistan	clusterIV	3	76	69	73	11	12	58	149
A0248	B.anthracis A0248 (K2802, 28, LSU248)	Human (1968) [pXO1+/pXO2+]	USA, Ohio	clusterIII	24	36	35	18	32	32	33	1
08CEB44BAC	B.cytotoxicus 08CEB44BAC	Food, cooked semolina (2008) [related to food poisoning}	France	clusterVII	48	40	39	74	37	73	39	150
7_6_55CFAA_CT2	B.c_group 7_6_55CFAA_CT2	Human, healthy biopsy tissue from a patient with Crohn-s disease		clusterIV	3	4	52	75	3	16	3	151
BMB171	B.thuringiensis kurstaki BMB171	Other, acrystalliferous mutant derived from B.thuringiensis kurstaki strain YBT-1463 cured of the insecticidal toxin plasmid at Huazhong Agricultural University	China, Wuhan	clusterIV	3	13	69	13	11	30	12	152
CI	B.cereus biovar anthracis CI	Animal, great apes (chimpanzees) (2001,2002) [previously named atypical B.anthracis because it carries pXO1 and pXO2 plasmids with anthrax virulence and polyglutamate capsule genes; produces a capsule]	Ivory Coast, Tai National Park	clusterIII	2	35	3	76	79	32	59	153
CT-43	B.thuringiensis chinensis CT-43		China	clusterIV	1	67	1	1	1	1	1	44
CVUAS2833	B.cytotoxicus CVUAS2833	Food, potato puree (2007) [related to food poisoning]	Germany	clusterVII	48	40	39	41	37	36	39	117
NC7401	B.cereus NC7401	Human, faeces/stools or vomit (1974 or 1994) [human vomiting, emetic food poisoning outbreak, emetic toxin/cereulide producer]	Japan	clusterIII	10	14	13	14	12	13	13	3
SJ1	B.cereus SJ1	Other, chromium-contaminated wastewater of a metal electroplating factory [chromate-resistant and reducing isolate]	China, Guangdong	clusterIII	2	77	80	43	80	74	17	154
YBT-020	B.thuringiensis finitimus YBT-020 (BGSC4B4)			clusterIII	59	78	14	77	41	13	13	155
LFB1263	B.cereus LFB-FIOCRUZ1263 (LFB1263)	Soil (2004)	Brazil, Rio Grande do Sul	clusterIV	13	79	56	33	78	31	16	156
LFB1414	B.thuringiensis LFB-FIOCRUZ1414 (LFB1414)	Food, Coffee powder (2006)	Brazil	clusterIV	17	39	1	1	36	35	23	157
LFB1561	B.thuringiensis LFB-FIOCRUZ1561 (LFB1561)	Dairy products, pasteurized whole milk (2011)	Brazil	clusterIV	17	-1	1	23	36	35	12	-8
LFB1588	B.thuringiensis LFB-FIOCRUZ1588 (LFB1588)	Dairy products, pasteurized whole milk (2011)	Brazil	clusterIV	34	39	1	23	64	35	46	158
LFB1619	B.thuringiensis LFB-FIOCRUZ1619 (LFB1619)	Dairy products, pasteurized whole milk (2011)	Brazil	clusterIV	3	79	63	78	-1	16	3	-9
LFB1669	B.cereus LFB-FIOCRUZ1669 (LFB1669)	Soil (2012)	Brazil, Parana	clusterIV	1	67	56	1	81	75	23	159
LFB1687	B.cereus LFB-FIOCRUZ1687 (LFB1687)	Animal, Insect, Culicidae (2008)	Brazil, Sao Paulo	clusterIV	1	67	1	1	82	1	23	160
LFB1689	B.cereus LFB-FIOCRUZ1689 (LFB1689)	Animal, Insect, Culicidae (2008)	Brazil, Sao Paulo	clusterIV	1	67	1	79	83	76	23	161
LFB1691	B.cereus LFB-FIOCRUZ1691 (LFB1691)	Animal, Insect, Culicidae (2009)	Brazil, Sao Paulo	clusterIV	1	39	1	80	36	1	23	162
LFB196	B.cereus LFB-FIOCRUZ196 (LFB196)	Soil (1979)	Brazil, Rio de Janeiro	clusterIV	1	67	1	1	84	1	23	163
LFB440	B.cereus LFB-FIOCRUZ440 (LFB440)	Food, Powder for pudding (1982)	Brazil	clusterIII	12	16	38	40	59	15	15	164
LFB540	B.cereus LFB-FIOCRUZ540 (LFB540)	Food, Shake mix chocolate flavor (1982)	Brazil	clusterIV	3	68	63	47	85	3	3	165
LFB541	B.cereus LFB-FIOCRUZ541 (LFB541)	Food, Rice cream (1982)	Brazil	clusterIV	3	13	12	13	11	12	12	33
LFB766	B.cereus LFB-FIOCRUZ766 (LFB766)	Soil (1989)	Brazil, Rio de Janeiro	clusterIV	1	67	51	1	83	1	23	166
LFB774	B.cereus LFB-FIOCRUZ774 (LFB774)	Soil (1989)	Brazil, Rio Grande do Sul	clusterIV	13	80	33	4	3	16	74	167
LFB799	B.cereus LFB-FIOCRUZ799 (LFB799)	Food, Chocolate porridge (1991)	Brazil	clusterIII	-1	52	50	81	50	38	14	-10
LFB803	B.cereus LFB-FIOCRUZ803 (LFB803)	Food, Formulated infant food (1991)	Brazil	clusterIV	3	4	16	82	66	16	16	168
LFB821	B.cereus LFB-FIOCRUZ821 (LFB821)	Food, pepper (1993)	Brazil	clusterIII	10	81	81	35	11	77	13	169
LFB970	B.cereus LFB-FIOCRUZ970 (LFB970)	Soil (1999)	Brazil, Parana	clusterIV	3	80	63	78	62	16	3	170
192	B.cereus 192	Food, rice (2011)	China, Zhejiang Province	clusterIII	10	14	13	14	12	13	13	3
03BB87	B.cereus 2002734342 (03BB87)	Human, blood (2003) [human fatal pneumonia; carries pXO1 plasmid with anthrax virulence genes and produces a polysaccharide capsule]	USA, Texas	clusterIII	28	42	14	43	39	38	41	58
105Ne	B.cereus 105Ne	Other, Water (2011)	Switzerland, Neuchatel, Ponts-de-Martel	clusterV	6	9	8	9	7	7	8	52
11kri323	B.mycoides 11kri323	Other, Water (2011)	Greece, Kavala, Krinides	unclustered	9	82	82	83	0	78	75	-11
13061	B.cereus 13061			clusterIII	10	14	13	36	12	13	13	43
2000031006	B.anthracis 2000031006	(1956)	USA, New Mexico	clusterIII	24	36	35	18	32	32	33	1
2000031008	B.anthracis 2000031008		USA, Alabama	clusterIII	24	36	35	18	32	32	33	1
2000031023	B.anthracis 2000031023	Animal, cattle (1957)		clusterIII	24	36	35	18	32	32	76	171
2000031027	B.anthracis 2000031027	Animal, cattle (1957)	USA, Oklahoma	clusterIII	24	36	35	18	32	32	33	1
2000031031	B.anthracis 2000031031	Human (1957)	USA, Massachusetts	clusterIII	24	36	35	18	32	32	33	1
2000031038	B.anthracis 2000031038	(1957)		clusterIII	24	36	35	18	32	32	33	1
2000031039	B.anthracis 2000031039	Animal, cattle (1957)		clusterIII	24	36	35	18	32	32	76	171
2000031052	B.anthracis 2000031052	Animal, cattle (1956)	USA, Wyoming	clusterIII	24	36	37	18	32	32	33	61
2000031075	B.anthracis 2000031075	Animal, cattle	South Africa	clusterIII	24	36	35	18	32	32	33	1
2000031709	B.anthracis 2000031709	(1956)	USA, Carolinas	clusterIII	24	36	35	18	32	32	33	1
2000031765	B.anthracis 2000031765			clusterIII	24	36	35	18	32	32	33	1
2000032819	B.anthracis 2000032819			clusterIII	24	36	35	18	32	32	33	1
2000032832	B.anthracis 2000032832			clusterIII	24	36	35	18	32	32	33	1
2000032879	B.anthracis 2000032879	(1962)		clusterIII	24	36	35	18	32	32	33	1
2000032892	B.anthracis 2000032892			clusterIII	24	36	35	18	86	32	33	172
2000032951	B.anthracis 2000032951	Human (1958)		clusterIII	24	36	35	18	32	32	33	1
2000032967	B.anthracis 2000032967			clusterIII	24	36	35	18	32	32	33	1
2000032968	B.anthracis 2000032968			clusterIII	24	36	35	18	32	32	33	1
2000032975	B.anthracis 2000032975	(1966)		clusterIII	24	36	35	18	32	32	33	1
2000032979	B.anthracis 2000032979		USA, New Jersey	clusterIII	24	36	35	18	32	32	33	1
2000032989	B.anthracis 2000032989			clusterIII	24	36	35	18	32	32	33	1
2002013094	B.anthracis 2002013094	Soil (1956) [pXO1+/pXO2+; two complete genomes sequenced for this strain with identical MLST sequences]	USA	clusterIII	24	36	37	18	32	32	33	61
219298	B.mycoides 219298 (BA0098)			clusterI	56	71	83	84	70	79	77	173
3154	B.anthracis 3154	Soil	Bulgaria	clusterIII	24	36	35	18	32	32	33	1
3166	B.anthracis 3166	Soil	Bulgaria	clusterIII	24	36	35	18	32	32	33	1
3A	B.cereus 3a (FRI41)	Other, Food Research Institute, University of Wisconsin-Madison	USA, Wisconsin, Madison	clusterIII	33	35	37	44	40	32	17	124
44-NIAH	B.anthracis 44-NIAH			clusterIII	24	36	35	18	32	32	33	1
4599	B.anthracis Heroin Ba4599 (Ba4599)	Human, Scottish heroin user (2009)	UK, Scotland, Glasgow	clusterIII	24	36	35	18	32	32	33	1
52-40-NIAH	B.anthracis 52-40-NIAH	Animal, horse (1940)	China	clusterIII	24	36	35	18	32	32	33	1
52-G	B.anthracis 52-G	Animal, cattle (bovine) (2009) [pXO1+/pXO2+]	Georgia, Tbilisi	clusterIII	24	36	35	18	32	32	33	1
8903-G	B.anthracis 8903-G	Soil (1997) [pXO1+/pXO2+]	Georgia, Gardabani	clusterIII	24	36	35	18	32	32	33	1
9080-G	B.anthracis 9080-G	Soil (1998) [pXO1+/pXO2+]	Georgia, Gardabani	clusterIII	24	36	35	18	32	32	33	1
95014	B.anthracis 95014	[pXO1+/pXO2-]		clusterIII	24	36	35	18	32	32	33	1
A0157	B.anthracis A0157 (NR-1041)	Animal, Pig (1996) [derived from strain ATCC4728; pXO1-/pXO2+]	USA	clusterIII	24	36	35	18	32	32	33	1
A0463	B.anthracis LSU463 (K5135, A0463, PAK-1)	Animal, sheep (1978) [reported as pXO1+/pXO2+ but no pXO2 sequence in genome]	Pakistan	clusterIII	24	36	35	18	32	32	33	1
A1	B.cereus A1	Other, sludge of an anaerobic digestion reactor (2011) [efficient starch-utilizing producer of hydrogen]	China, Beijing	clusterIV	3	4	84	85	3	16	3	174
A1039	B.anthracis A1039	Animal, cattle (1999)	Bolivia, Santa Cruz	clusterIII	24	36	35	18	32	32	76	171
A1075	B.anthracis A1075	Animal, cattle [pXO1+/pXO2+]	Chile, Lago Ranco-Valdivia Agricola Quillin Va. Region	clusterIII	24	36	35	18	32	32	76	171
A1144	B.anthracis A1144	[pXO1+/pXO2+; shows mucoid colony morphology]	Argentina	clusterIII	24	36	35	18	32	32	33	1
A16	B.anthracis A16	[pXO1+/pXO2+]		clusterIII	24	36	35	18	32	32	33	1
A16R	B.anthracis A16R	[attenuated variant of strain A16; pXO1+/pXO2-]		clusterIII	24	36	35	18	32	32	33	1
A.Br.003	B.anthracis Scotland A.Br.003	Human, child cutaneous anthrax	UK, Scotland, Dundee	clusterIII	24	36	35	18	32	32	33	1
AK47	B.thuringiensis AK47	Soil (2010)	India, Odisha	clusterIV	13	4	56	33	3	61	64	115
AND1407	B.c_group AND1407	Food		clusterIII	10	14	13	36	12	13	13	43
ANSES00-82	B.anthracis ANSES 00-82 (00-82)	Animal, cattle (bovine) (2000)	France, Savoie	clusterIII	24	36	42	18	32	32	33	60
ANSES08-820	B.anthracis ANSES 08-8 20 (08-8_20)	Animal, cattle (bovine) (2008)	France, Doubs	clusterIII	24	36	35	18	32	32	33	1
ANSES99-100	B.anthracis ANSES 99-100 (99-100)	Animal, cattle (bovine) (1999)	France, Nievre	clusterIII	24	36	35	18	32	32	33	1
ATCC14185	B.anthracis ATCC14185 (K3700, A0267, LSU267, V770-NP-1R, V770-NP1-R)	Animal, cattle (bovine) (1951) [United States Human Vaccine strain; pXO1+/pXO2-; two complete genomes sequenced for this strain with identical MLST sequences]	USA, Florida	clusterIII	24	36	35	18	32	32	76	171
B38V	B.mycoides B38V	Soil or plant, Sunflower (Helianthus annuus) rhizosphere (2010) [promotes sunflower growth]	Brazil, Rio Grande do Sul	clusterVI	5	20	65	19	87	80	7	175
B5-2	B.c_group B5-2	Soil	China	clusterII	60	83	85	86	88	81	78	176
BA1004	B.anthracis Ames BA1004	(2000) [pXO1+/pXO2+]	USA, Texas	clusterIII	24	36	35	18	32	32	33	1
BA1035	B.anthracis BA1035	Human, Clinical [pXO1+/pXO2+]	South Africa	clusterIII	24	36	42	18	32	32	33	60
BcAlHakam	B.cereus Al Hakam (BcAlHakam)	Other, suspected bioweapons facility	Iraq	clusterI	56	71	83	84	70	79	77	173
BcFL2013	B.cereus BcFL2013			clusterIII	28	42	14	43	39	38	41	58
BCT-7112	B.toyonensis type strain BCT-7112 (CECT876, NCIMB14858)	Soil (1966) [active ingredient of the feed additive preparation Toyocerin]	Japan, Izu, Shizuoka Prefecture	clusterV	6	9	8	9	7	7	8	52
BF1	B.anthracis BF1	Animal, cattle (cow) carcass (2009) [from a cow that had succumbed to anthrax; pXO1+/pXO2+]	Germany, Bavaria	clusterIII	24	36	42	18	32	32	33	60
BFV	B.anthracis BFV (BA0052)	[pXO1+/pXO2+]		clusterIII	24	36	35	18	32	32	33	1
BGSC4AA1	B.thuringiensis morrisoni BGSC4AA1	Soil (1987) [originally classified as B.thuringiensis tenebrionis]		clusterIV	34	39	1	23	64	35	23	112
BGSC4Q7	B.thuringiensis israelensis BGSC4Q7 (4Q2-81, AH424, KB006)	Soil (1976) [plasmid-cured; acrystalliferous; widely used as a recombination host]	Israel	clusterIV	17	39	1	23	36	35	23	136
BHP	B.mycoides BHP	Soil	Papua New Guinea	unclustered	68	90	95	96	97	89	88	177
BMG1.7	B.c_group BMG1.7			clusterIV	13	4	56	33	3	61	64	115
BtB2-4	B.c_group BtB2-4			clusterVI	53	20	7	97	23	6	19	178
Btm27	B.thuringiensis mexicanensis 27 (BGSC4AC2, Btm27)	Animal, Insect, Citrus mealybug (Planococcus citri) (2010)	Egypt	clusterIV	13	4	56	33	3	61	64	115
Canadian_bison	B.anthracis Canadian_bison	Animal, Bison [pXO1+/pXO2+]	Canada	clusterIII	24	36	35	18	32	32	33	1
Carbosap	B.anthracis Carbosap	[attenuated, toxigenic, capsulated strain; shows significant attenuation of virulence; used in Italy as a live spore vaccine for cattle and sheep; pXO1+/pXO2+; two complete genomes sequenced for this strain with identical MLST sequences between]	Somalia, Asmara, Institute Vacci nogeno or Italy, Rome	clusterIII	24	36	35	18	32	32	33	1
CER057	B.c_group CER057			clusterVI	53	20	7	97	23	6	19	178
CER074	B.c_group CER074			clusterVI	53	20	7	97	23	6	19	178
Cvac02	B.anthracis Cvac02	Animal, dead cow blood (2013) [from the site of an anthrax outbreak]	China, Liaoning Province	clusterIII	24	36	35	18	32	32	33	1
CZC5	B.anthracis CZC5	Animal, Hippopotamus tissues (2011) [from hippopotamuses that had died during an anthrax outbreak]	Zambia	clusterIII	24	36	35	18	32	32	33	1
D17	B.cereus D17 (FRI13)	Other, Food Research Institute, University of Wisconsin-Madison	USA, Wisconsin, Madison	clusterIII	2	3	3	98	2	2	2	179
DAR81934	B.thuringiensis DAR81934	[exhibits molluscicidal activity toward the pest snail Cernuella virgata]	Australia, Port Campbell National Park	clusterIV	34	11	1	23	36	35	23	180
DB27	B.thuringiensis DB27	[highly nematicidal]		clusterIV	69	65	56	47	66	16	3	181
deltaSterne	B.anthracis delta Sterne	[pXO1-/pXO2-]		clusterIII	24	36	35	18	32	32	33	1
DSM11821	B.weihenstephanensis type strain WSBC10204 (DSM11821, AH1145, KB008, NBRC101238)	Dairy products, pasteurized milk (1992) [from the same dairy as isolates WSBC10028, WSBC10029, WSBC10030, WSBC10031, WSBC10042, WSBC10201, WSBC10205, WSBC10206, WSBC10208, and WSBC10211; two complete genomes sequenced for this strain with identical MLST sequences		clusterVI	5	29	7	8	6	6	7	126
DSM4222	B.cereus F837/76 (AH188, KBBI3, DSM4222)	Human, wound (1976) [efficient diarrheal enterotoxin producer from prostate operation wound infection]	UK	clusterIII	2	2	2	101	2	32	2	182
Et10/1	B.thuringiensis Et10/1	Other, Water (2011) [altitude 3997 m.]	Chile, Lirima thermal springs	clusterIII	40	78	96	99	41	13	13	183
F	B.cereus F	Soil, ancient permafrost aged nearly 3 million years	Russia, Yakutia	clusterIII	12	16	38	100	59	15	15	184
F1-15	B.cereus F1-15			clusterIII	10	14	13	14	12	13	13	3
FJAT-13831	B.bingmayongensis type strain FJAT-13831 (CGMCC1.12043, DSM25427)	Soil (2010) [soil on the Terracotta Warriors from the No. 1 pit of the Mausoleum of the First Qin Emperor]	China, Shaanxi (Xi-an City)	clusterI	70	91	97	102	98	90	89	185
FM1	B.cereus FM1			clusterIII	71	42	14	43	100	38	41	186
FORC005	B.cereus FORC 005	Food, chicken cutlett (2014)	Korea (South), Inchon	clusterIV	3	6	6	38	101	12	5	187
FRI35	B.cereus FRI-35 (FRI35)			clusterIII	26	35	38	40	35	13	38	188
FSLH7-687	B.weihenstephanensis FSL H7-687	Dairy products, pasteurized milk (2005)	USA	clusterVI	53	92	7	19	23	91	19	189
FSLR5-860	B.weihenstephanensis FSL R5-860	Dairy products, pasteurized milk (2006)	USA	clusterIV	3	13	98	13	11	12	12	190
FT9	B.cereus FT9	Other, hot springs	Brazil, Caldas Novas, Goias	clusterIII	11	15	14	103	50	63	90	191
G1O-1	B.c_group BAG1O-1	Soil	USA, Massachusetts, Boston	unclustered	9	12	86	87	89	82	79	192
G1O-2	B.c_group BAG1O-2	Soil	USA, Massachusetts, Boston	clusterV	6	9	8	9	7	7	8	52
G1O-3	B.c_group BAG1O-3	Soil	USA, Massachusetts, Boston	clusterIV	1	67	1	1	83	1	80	193
G1X1-1	B.c_group BAG1X1-1	Soil	USA, Massachusetts, Boston	clusterIV	61	84	87	88	90	83	81	194
G1X1-2	B.c_group BAG1X1-2	Soil	USA, Massachusetts, Boston	clusterIV	1	67	1	1	83	1	23	195
G1X1-3	B.c_group BAG1X1-3	Soil	USA, Massachusetts, Boston	unclustered	9	12	86	87	89	82	79	192
G1X2-1	B.c_group BAG1X2-1	Soil	USA, Massachusetts, Boston	clusterIV	61	84	87	88	90	83	81	194
G1X2-2	B.c_group BAG1X2-2	Soil	USA, Massachusetts, Boston	clusterIV	61	84	87	88	90	83	81	194
G1X2-3	B.c_group BAG1X2-3	Soil	USA, Massachusetts, Boston	clusterIV	61	84	87	88	90	83	81	194
G2O-1	B.c_group BAG2O-1	Soil	USA, Massachusetts, Boston	clusterIV	61	84	87	88	90	83	81	194
G2O-2	B.c_group BAG2O-2	Soil	USA, Massachusetts, Boston	clusterV	6	9	88	9	7	7	8	196
G2O-3	B.c_group BAG2O-3	Soil	USA, Massachusetts, Boston	clusterII	60	83	85	86	88	81	78	176
G2X1-1	B.c_group BAG2X1-1	Soil	USA, Massachusetts, Boston	unclustered	62	85	89	89	91	84	82	197
G2X1-2	B.c_group BAG2X1-2	Soil	USA, Massachusetts, Boston	clusterII	7	59	10	25	24	40	83	198
G2X1-3	B.c_group BAG2X1-3	Soil	USA, Massachusetts, Boston	unclustered	63	86	90	89	91	84	82	199
G3O-1	B.c_group BAG3O-1	Soil	USA, Massachusetts, Boston	clusterII	60	83	85	90	92	85	78	200
G3O-2	B.c_group BAG3O-2	Soil	USA, Massachusetts, Boston	clusterIV	3	87	16	4	66	53	3	201
G3X2-1	B.c_group BAG3X2-1	Soil	USA, Massachusetts, Boston	unclustered	9	12	91	91	93	78	84	202
G3X2-2	B.c_group BAG3X2-2	Soil	USA, Massachusetts, Boston	clusterIV	13	4	56	33	15	61	64	203
G4O-1	B.c_group BAG4O-1	Soil	USA, Massachusetts, Boston	clusterIV	3	87	16	4	66	53	3	201
G4X12-1	B.c_group BAG4X12-1	Soil	USA, Massachusetts, Boston	clusterIV	3	4	92	33	3	86	16	204
G4X2-1	B.c_group BAG4X2-1	Soil	USA, Massachusetts, Boston	clusterV	6	9	8	9	7	7	8	52
G5O-1	B.c_group BAG5O-1	Soil	USA, Massachusetts, Boston	clusterV	64	9	8	9	94	43	8	205
G5X1-1	B.c_group BAG5X1-1	Soil	USA, Massachusetts, Boston	clusterVI	65	88	93	92	95	44	85	206
G5X12-1	B.c_group BAG5X12-1	Soil	USA, Massachusetts, Boston	clusterIV	3	4	92	33	3	86	16	204
G5X2-1	B.c_group BAG5X2-1	Soil	USA, Massachusetts, Boston	clusterII	7	22	21	22	20	20	21	11
G6O-1	B.c_group BAG6O-1	Soil	USA, Massachusetts, Boston	clusterV	6	9	8	93	94	7	8	207
G6O-2	B.c_group BAG6O-2	Soil	USA, Massachusetts, Boston	clusterVI	66	88	64	94	48	87	47	208
G6X1-1	B.c_group BAG6X1-1	Soil	USA, Massachusetts, Boston	clusterII	7	59	10	25	24	40	86	209
G6X1-2	B.c_group BAG6X1-2	Soil	USA, Massachusetts, Boston	clusterVI	67	89	94	95	96	88	87	210
Gmb1	B.anthracis Gmb1		Gambia	clusterIII	24	36	35	18	32	32	33	1
H9401	B.anthracis H9401	Human, cutaneous anthrax patient [pXO1+/pXO2+]	Korea (South)	clusterIII	24	36	35	18	32	32	33	1
Han	B.anthracis Han	Animal, dead cow blood (2013) [from the site of an anthrax outbreak]	China, Liaoning Province	clusterIII	24	36	-3	18	32	32	33	-12
HD1002	B.thuringiensis israelensis HD1002	Other, Sewage	Israel	clusterIV	17	39	1	23	36	35	23	136
HD1011	B.thuringiensis pondicheriensis HD1011	(1915)	India	clusterIII	33	35	46	44	40	32	44	71
HD29	B.thuringiensis galleriae galleriae HD29 (AH445, BGSC4G5, CCEB565, DSM6110)	Animal, Insect, Siberian moth (Dendrolimus sibiricus)	Czechoslovakia or USSR	clusterIV	13	4	99	33	15	61	64	211
HD571	B.thuringiensis kyushuensis DSM6080 (HD571)		Japan	clusterIII	2	3	3	3	2	32	17	89
HD600	B.thuringiensis morrisoni HD600	Animal, Insect, silkworm (2007)	Japan	clusterIV	34	39	1	23	64	35	23	112
HD682	B.thuringiensis finitimus HD682		Japan	clusterIII	2	35	47	18	40	32	17	212
HD73	B.thuringiensis kurstaki HD73 (BGSC4D4, KT0)	Animal, Insect [two complete genomes sequenced for this strain with identical MLST sequences]		clusterIV	13	4	56	33	3	61	64	115
HD771	B.thuringiensis HD771			clusterIV	34	11	1	23	36	35	46	75
HD789	B.thuringiensis HD789			clusterIV	17	39	1	23	36	35	23	136
Hu4-2	B.thuringiensis aizawai Hu4-2	Other, dust sample from maize grain silo	Spain	clusterIV	13	4	99	33	15	61	64	211
HuA2-1	B.c_group HuA2-1	Soil	Belgium	clusterVI	21	20	26	19	23	92	91	213
HuA2-3	B.c_group HuA2-3	Soil	Belgium	clusterV	6	9	8	9	7	7	8	52
HuA2-4	B.c_group HuA2-4	Soil	Belgium	clusterVI	22	29	7	19	23	93	7	214
HuA2-9	B.c_group HuA2-9	Soil	Belgium	clusterVI	22	93	19	104	23	92	92	215
HuA3-9	B.c_group HuA3-9	Soil	Belgium	clusterVI	22	30	31	97	23	28	29	216
HuA4-10	B.c_group HuA4-10	Soil	Belgium	clusterVI	72	94	7	105	102	94	93	217
HuB1-1	B.c_group HuB1-1	Soil	Belgium	clusterIV	1	67	1	1	83	1	94	218
HuB13-1	B.c_group HuB13-1	Soil	Belgium	clusterIV	13	4	56	33	3	61	64	115
HuB2-9	B.c_group HuB2-9	Soil	Belgium	clusterV	6	9	8	9	7	7	8	52
HuB4-10	B.c_group HuB4-10	Soil	Belgium	clusterV	64	9	8	9	94	7	8	219
HuB4-4	B.c_group HuB4-4	Soil	Belgium	clusterIV	17	11	1	23	36	35	23	220
HuB5-5	B.c_group HuB5-5	Soil	Belgium	clusterV	6	9	8	9	7	43	8	221
HYU01	B.anthracis HYU01	Soil (2009) [pXO1+/pXO2+]	Korea (South), Changnyeong	clusterIII	24	36	42	18	32	32	33	60
IS075	B.c_group IS075	Animal, Mammals	Poland	clusterIII	10	14	13	14	12	13	13	3
IS195	B.c_group IS195	Animal, Mammals	Poland	clusterIII	10	14	13	14	12	13	13	3
IS5056	B.thuringiensis thuringiensis IS5056	Soil (2005)	Poland, Biebrza National Park	clusterIV	1	67	1	1	1	1	1	44
IS845/00	B.c_group IS845/00	Animal, Mammals	Poland	clusterIII	10	14	13	14	12	13	13	3
ISP2954	B.c_group ISP2954	Food		clusterIV	13	4	56	33	3	61	64	115
ISP3191	B.c_group ISP3191	Food		clusterIII	2	95	100	18	79	95	59	222
JAS83/3	B.weihenstephanensis JAS83/3	Soil (2011) [MLST data different from isolate PL JAS83/3]	Poland	clusterVI	53	20	101	97	103	6	19	223
JCM15801	B.gaemokensis type strain JCM 15801 (MCCC1A00707, BL3-6, KCTC13318)	Other, Yellow Sea tidal flat sediment (2011)		clusterI	73	96	102	106	104	96	95	224
JCM15802	B.manliponensis type strain JCM 15802 (MCCC1A00708, BL4-6, KCTC13319)	Other, Yellow Sea tidal flat sediment (2011)		unclustered	74	97	103	0	105	97	96	-13
JM-Mgvxx-63	B.thuringiensis JM-Mgvxx-63 (BrMgv02-JM63)	Other, oil-contaminated mangrove sediment (2013)	Brazil, Bertioga, Sao Paulo	clusterIV	61	64	87	88	52	76	81	225
K3	B.anthracis K3	Human [pXO1+/pXO2+]	South Africa	clusterIII	24	36	35	18	32	32	33	1
K4516	B.anthracis BA1015 (A0376, K4516)	Animal, cattle (Bovine) (1939) [pXO1+/pXO2+]	USA, Maryland	clusterIII	24	36	35	18	32	32	76	171
K-5975c	B.c_group K-5975c	Food		clusterIV	34	39	1	23	36	35	23	226
KS100Bc	B.cereus KS100Bc	Food service operation (2014)	Korea (South), Gyeonggi-do	clusterIII	12	16	15	36	14	15	15	2
LCT-BC235	B.cereus LCT-BC235	Other, culture sent to space aboard the Shenzhou-8 spacecraft; isolated after space flight		clusterIII	10	35	73	107	31	13	13	227
LCT-BC244	B.cereus LCT-BC244			clusterIII	10	35	73	107	31	13	13	227
LCT-BC25	B.cereus LCT-BC25	Other, culture sent to space aboard the Shenzhou-8 spacecraft; isolated after space flight		clusterIII	10	35	73	107	31	13	13	227
Leapi01	B.thuringiensis aizawai Leapi01	Animal, Insect, Loreyi Leafworm/Cosmopolitan (Mythimna loreyi/Leucania loreyi) dead larva	Spain	clusterIV	13	4	99	33	15	61	64	211
LM1212	B.thuringiensis LM1212	Animal, Insect, beetle (Oryctes gigas) cadaver	Madagascar	clusterIII	75	37	104	108	33	33	34	228
Lr3/2	B.thuringiensis Lr3/2	Other, Water (2011) [altitude 3997 m.]	Chile, Lirima thermal springs	clusterIII	40	78	96	99	41	13	13	183
Lr4/2	B.cereus Lr4/2			clusterIV	3	4	57	57	56	53	56	97
Lr7/2	B.thuringiensis Lr7/2	Other, Water (2011)	Chile, Lirima thermal springs	clusterIV	17	11	1	23	64	35	23	229
MC118	B.c_group MC118			clusterVI	16	21	64	109	106	98	97	230
MC28	B.thuringiensis MC28	Soil, virgin forest soil	China, Mu Chuan virgin forest, Sichuan Province	clusterV	6	58	58	9	94	7	8	231
MC67	B.c_group MC67			clusterVI	16	21	64	109	106	98	97	230
MIT0214	B.cereus MIT0214	Other, Deep subsurface (2010) [isolated through enrichment of samples from geologic sequestration sites in pressurized bioreactors containing a supercritical CO2 headspace]	USA, Texas	clusterIV	3	6	59	69	5	99	5	232
MSX-A1	B.c_group MSX-A1			clusterIV	34	11	1	23	64	35	66	233
MSX-A12	B.c_group MSX-A12			clusterIII	10	14	13	14	12	13	13	3
MSX-D12	B.c_group MSX-D12			clusterIII	10	35	105	45	41	13	13	234
NA205-3	B.thuringiensis tolworthi NA205-3	Other, dust from maize silo	Spain	clusterIV	1	67	1	1	1	1	1	44
NBIN-866	B.thuringiensis NBIN-866	Soil	China, Hubei Province	clusterIV	76	4	106	33	15	61	64	235
NRS936	B.mycoides Flugge 10206 (ATCC10206, NCIMB8096, NCTC2603, CIP105443, NRS936)			clusterI	56	73	76	65	99	69	71	236
OhioACB	B.anthracis Ohio ACB	Animal, pig [pXO1+/pXO2+]	USA, Ohio	clusterIII	24	36	35	18	32	32	33	1
